NROEMPRESA;SEQCOMPRADOR;DTAVDA;DOCTOS;VLR_VENDA;LUCRO;VERBA;CATEGORIA
5;1;2026-05-01;103;1465,54;254,21;0,90;PAS
5;3;2026-05-01;192;2300,11;596,36;45,70;SECA DOCE
5;4;2026-05-01;173;2538,62;748,28;5,71;SECA SALG
5;5;2026-05-01;177;2898,17;842,45;21,15;PADARIA
5;6;2026-05-01;227;13989,27;1336,01;0,00;AÇOUGUE
5;7;2026-05-01;236;3458,99;516,76;43,62;LIQUIDA
5;8;2026-05-01;194;3997,78;305,70;170,33;COMMODITIES
5;9;2026-05-01;341;5284,70;945,38;0,00;FLV
5;10;2026-05-01;306;867,32;280,16;0,00;BAZAR
5;15;2026-05-01;1;10,00;7,26;0,00;OUTROS
5;16;2026-05-01;98;2010,99;366,12;0,00;LIMPEZA
5;18;2026-05-01;86;2157,62;614,31;0,00;PERFUMARIA
5;1;2026-05-02;106;1788,76;326,60;4,10;PAS
5;3;2026-05-02;198;2422,56;643,84;56,60;SECA DOCE
5;4;2026-05-02;186;2443,48;697,81;20,45;SECA SALG
5;5;2026-05-02;148;2048,44;625,70;52,95;PADARIA
5;6;2026-05-02;238;16055,69;1719,08;0,00;AÇOUGUE
5;7;2026-05-02;225;2755,61;380,57;8,60;LIQUIDA
5;8;2026-05-02;197;4493,70;232,98;99,83;COMMODITIES
5;9;2026-05-02;320;5115,87;1092,82;0,00;FLV
5;10;2026-05-02;282;720,82;231,05;0,00;BAZAR
5;16;2026-05-02;90;1426,54;247,39;0,00;LIMPEZA
5;18;2026-05-02;98;2188,10;635,85;4,00;PERFUMARIA
5;1;2026-05-03;83;1172,19;242,13;1,80;PAS
5;3;2026-05-03;174;1827,74;480,15;33,80;SECA DOCE
5;4;2026-05-03;150;1593,31;486,71;17,60;SECA SALG
5;5;2026-05-03;162;2463,56;749,77;0,00;PADARIA
5;6;2026-05-03;201;12239,22;1101,43;0,00;AÇOUGUE
5;7;2026-05-03;255;2957,44;453,74;4,23;LIQUIDA
5;8;2026-05-03;172;3017,10;101,24;9,00;COMMODITIES
5;9;2026-05-03;287;3858,65;816,39;0,00;FLV
5;10;2026-05-03;261;821,60;262,62;0,00;BAZAR
5;16;2026-05-03;64;996,50;189,96;0,00;LIMPEZA
5;18;2026-05-03;87;1490,31;416,94;0,00;PERFUMARIA
7;1;2026-05-01;252;3776,01;990,10;40,40;PAS
7;3;2026-05-01;413;5452,03;1268,59;81,10;SECA DOCE
7;4;2026-05-01;393;5582,68;1784,96;31,92;SECA SALG
7;5;2026-05-01;431;7135,21;2202,80;73,40;PADARIA
7;6;2026-05-01;594;40104,99;3249,91;0,00;AÇOUGUE
7;7;2026-05-01;479;7062,68;1364,13;313,70;LIQUIDA
7;8;2026-05-01;369;7921,27;907,95;547,50;COMMODITIES
7;9;2026-05-01;642;10192,06;1957,66;0,00;FLV
7;10;2026-05-01;79;1163,18;376,48;0,00;BAZAR
7;15;2026-05-01;1;2,00;1,47;0,00;OUTROS
7;16;2026-05-01;177;3385,68;625,06;0,00;LIMPEZA
7;18;2026-05-01;182;3876,52;1042,29;11,50;PERFUMARIA
7;1;2026-05-02;203;2674,62;678,04;26,50;PAS
7;3;2026-05-02;336;4341,17;840,74;99,30;SECA DOCE
7;4;2026-05-02;302;3598,80;1163,50;33,35;SECA SALG
7;5;2026-05-02;317;4794,90;1501,56;35,50;PADARIA
7;6;2026-05-02;447;25726,65;2534,98;0,00;AÇOUGUE
7;7;2026-05-02;383;4969,94;740,86;69,30;LIQUIDA
7;8;2026-05-02;332;7185,60;370,93;126,33;COMMODITIES
7;9;2026-05-02;463;6884,23;1577,73;0,00;FLV
7;10;2026-05-02;65;970,11;310,18;0,00;BAZAR
7;16;2026-05-02;145;2150,79;385,28;0,00;LIMPEZA
7;18;2026-05-02;163;3180,57;873,99;2,00;PERFUMARIA
7;1;2026-05-03;193;3039,83;770,81;28,80;PAS
7;3;2026-05-03;354;4005,04;901,01;77,90;SECA DOCE
7;4;2026-05-03;319;3755,10;1220,10;19,45;SECA SALG
7;5;2026-05-03;374;6020,78;1789,08;72,10;PADARIA
7;6;2026-05-03;446;26409,64;2901,92;0,00;AÇOUGUE
7;7;2026-05-03;432;5212,54;779,34;33,90;LIQUIDA
7;8;2026-05-03;340;6172,82;377,02;63,83;COMMODITIES
7;9;2026-05-03;487;5894,83;1388,16;0,00;FLV
7;10;2026-05-03;64;1025,04;331,59;0,00;BAZAR
7;15;2026-05-03;1;1,00;0,74;0,00;OUTROS
7;16;2026-05-03;114;1966,76;335,93;0,00;LIMPEZA
7;18;2026-05-03;161;3014,61;783,36;0,00;PERFUMARIA
10;1;2026-05-01;245;4324,66;1066,66;31,70;PAS
10;3;2026-05-01;442;6192,60;1360,01;128,70;SECA DOCE
10;4;2026-05-01;348;5944,63;1958,09;35,44;SECA SALG
10;5;2026-05-01;443;8155,54;2445,15;40,80;PADARIA
10;6;2026-05-01;535;38082,50;3451,94;0,00;AÇOUGUE
10;7;2026-05-01;552;9818,84;1975,69;470,70;LIQUIDA
10;8;2026-05-01;375;7802,17;946,65;423,83;COMMODITIES
10;9;2026-05-01;748;15069,17;2999,29;0,00;FLV
10;10;2026-05-01;146;2349,81;767,34;1,50;BAZAR
10;16;2026-05-01;215;4618,90;794,67;0,00;LIMPEZA
10;18;2026-05-01;225;4922,86;1204,18;5,00;PERFUMARIA
10;1;2026-05-02;176;3031,13;785,15;13,70;PAS
10;3;2026-05-02;334;4890,40;1089,28;125,20;SECA DOCE
10;4;2026-05-02;293;4135,76;1290,84;17,00;SECA SALG
10;5;2026-05-02;355;5759,38;1770,68;117,70;PADARIA
10;6;2026-05-02;455;28838,22;3069,93;0,00;AÇOUGUE
10;7;2026-05-02;461;8423,13;1385,56;161,20;LIQUIDA
10;8;2026-05-02;347;8322,88;515,56;78,50;COMMODITIES
10;9;2026-05-02;612;13057,46;2933,05;0,00;FLV
10;10;2026-05-02;99;2351,87;737,47;0,00;BAZAR
10;15;2026-05-02;1;2,00;0,64;0,00;OUTROS
